FacilityReportID,MainActivityIndicator,RankingNumeric,IAReportedActivityCode,IPPCReportedActivityCode,SectorCode,ActivityCode,SubActivityCode,ActivityIPPCCode,SubActivityIPPCCode
6314,1,1,EPER_2.1/2.2/2.3/2.4/2.5/2.6,NULL,EPER_2,EPER_2.1/2.2/2.3/2.4/2.5/2.6,NULL,NULL,NULL
6314,0,2,EPER_1.1,NULL,EPER_1,EPER_1.1,NULL,NULL,NULL
6314,0,3,EPER_1.3,NULL,EPER_1,EPER_1.3,NULL,NULL,NULL
6314,0,4,EPER_3.1/3.3/3.4/3.5,NULL,EPER_3,EPER_3.1/3.3/3.4/3.5,NULL,NULL,NULL
6314,0,5,EPER_5.3/5.4,NULL,EPER_5,EPER_5.3/5.4,NULL,NULL,NULL
6993,1,1,EPER_2.1/2.2/2.3/2.4/2.5/2.6,NULL,EPER_2,EPER_2.1/2.2/2.3/2.4/2.5/2.6,NULL,NULL,NULL
6993,0,2,EPER_1.1,NULL,EPER_1,EPER_1.1,NULL,NULL,NULL
6993,0,3,EPER_1.3,NULL,EPER_1,EPER_1.3,NULL,NULL,NULL
6993,0,4,EPER_3.1/3.3/3.4/3.5,NULL,EPER_3,EPER_3.1/3.3/3.4/3.5,NULL,NULL,NULL
6993,0,5,EPER_5.3/5.4,NULL,EPER_5,EPER_5.3/5.4,NULL,NULL,NULL
6993,0,6,EPER_6.7,NULL,EPER_6,EPER_6.7,NULL,NULL,NULL
959784,1,1,2.(b),2.2,2,2.(b),NULL,2.2,NULL
959784,0,2,1.(d),1.3,1,1.(d),NULL,1.3,NULL
959784,0,3,1.(e),NULL,1,1.(e),NULL,NULL,NULL
959784,0,4,2.(a),2.1,2,2.(a),NULL,2.1,NULL
959784,0,11,5.(c),5.3,5,5.(c),NULL,5.3,NULL
959784,0,12,9.(c),6.7,9,9.(c),NULL,6.7,NULL
959784,0,13,1.(c),1.1,1,1.(c),NULL,1.1,NULL
959784,0,5,2.(c).(i),2.3.(a),2,2.(c),2.(c).(i),2.3,2.3.(a)
959784,0,6,2.(c).(iii),2.3.(c),2,2.(c),2.(c).(iii),2.3,2.3.(c)
959784,0,7,2.(f),2.6,2,2.(f),NULL,2.6,NULL
959784,0,8,3.(b),NULL,3,3.(b),NULL,NULL,NULL
959784,0,9,3.(c).(iii),3.1,3,3.(c),3.(c).(iii),3.1,3.1
959784,0,10,5.(a),5.1,5,5.(a),NULL,5.1,NULL
962460,0,7,3.(b),NULL,3,3.(b),NULL,NULL,NULL
962460,0,8,3.(c),3.1,3,3.(c),NULL,3.1,NULL
962460,0,9,5.(a),5.1,5,5.(a),NULL,5.1,NULL
962460,0,10,5.(c),5.3,5,5.(c),NULL,5.3,NULL
962460,0,11,9.(c),6.7,9,9.(c),NULL,6.7,NULL
962460,0,12,1.(c),1.1,1,1.(c),NULL,1.1,NULL
962460,1,1,2.(b),2.2,2,2.(b),NULL,2.2,NULL
962460,0,2,1.(d),1.3,1,1.(d),NULL,1.3,NULL
962460,0,3,1.(e),NULL,1,1.(e),NULL,NULL,NULL
962460,0,4,2.(a),2.1,2,2.(a),NULL,2.1,NULL
962460,0,5,2.(c),2.3,2,2.(c),NULL,2.3,NULL
962460,0,6,2.(f),2.6,2,2.(f),NULL,2.6,NULL
965225,1,1,2.(b),2.2,2,2.(b),NULL,2.2,NULL
965225,0,2,1.(d),1.3,1,1.(d),NULL,1.3,NULL
965225,0,3,1.(e),NULL,1,1.(e),NULL,NULL,NULL
965225,0,10,5.(c),5.3,5,5.(c),NULL,5.3,NULL
965225,0,11,9.(c),6.7,9,9.(c),NULL,6.7,NULL
965225,0,12,1.(c),1.1,1,1.(c),NULL,1.1,NULL
965225,0,4,2.(a),2.1,2,2.(a),NULL,2.1,NULL
965225,0,5,2.(c),2.3,2,2.(c),NULL,2.3,NULL
965225,0,6,2.(f),2.6,2,2.(f),NULL,2.6,NULL
965225,0,7,3.(b),NULL,3,3.(b),NULL,NULL,NULL
965225,0,8,3.(c).(ii),3.1,3,3.(c),3.(c).(ii),3.1,3.1
965225,0,9,5.(a),5.1,5,5.(a),NULL,5.1,NULL
968109,1,1,2.(b),2.2,2,2.(b),NULL,2.2,NULL
968109,0,2,1.(d),1.3,1,1.(d),NULL,1.3,NULL
968109,0,9,5.(a),5.1,5,5.(a),NULL,5.1,NULL
968109,0,10,5.(c),5.3,5,5.(c),NULL,5.3,NULL
968109,0,11,9.(c),6.7,9,9.(c),NULL,6.7,NULL
968109,0,12,1.(c),1.1,1,1.(c),NULL,1.1,NULL
968109,0,3,1.(e),NULL,1,1.(e),NULL,NULL,NULL
968109,0,4,2.(a),2.1,2,2.(a),NULL,2.1,NULL
968109,0,5,2.(c),2.3,2,2.(c),NULL,2.3,NULL
968109,0,6,2.(f),2.6,2,2.(f),NULL,2.6,NULL
968109,0,7,3.(b),NULL,3,3.(b),NULL,NULL,NULL
968109,0,8,3.(c).(ii),3.1,3,3.(c),3.(c).(ii),3.1,3.1
971094,0,12,9.(c),6.7,9,9.(c),NULL,6.7,NULL
971094,0,13,1.(c),1.1,1,1.(c),NULL,1.1,NULL
971094,0,6,2.(c).(iii),2.3.(c),2,2.(c),2.(c).(iii),2.3,2.3.(c)
971094,0,7,2.(f),2.6,2,2.(f),NULL,2.6,NULL
971094,0,8,3.(b),NULL,3,3.(b),NULL,NULL,NULL
971094,0,9,3.(c).(iii),3.1,3,3.(c),3.(c).(iii),3.1,3.1
971094,0,10,5.(a),5.1,5,5.(a),NULL,5.1,NULL
971094,0,11,5.(c),5.3,5,5.(c),NULL,5.3,NULL
971094,1,1,2.(b),2.2,2,2.(b),NULL,2.2,NULL
971094,0,2,1.(d),1.3,1,1.(d),NULL,1.3,NULL
971094,0,3,1.(e),NULL,1,1.(e),NULL,NULL,NULL
971094,0,4,2.(a),2.1,2,2.(a),NULL,2.1,NULL
971094,0,5,2.(c).(i),2.3.(a),2,2.(c),2.(c).(i),2.3,2.3.(a)
974127,0,13,1.(c),1.1,1,1.(c),NULL,1.1,NULL
974127,0,7,2.(f),2.6,2,2.(f),NULL,2.6,NULL
974127,0,8,3.(c).(iii),3.1,3,3.(c),3.(c).(iii),3.1,3.1
974127,0,9,9.(c),6.7,9,9.(c),NULL,6.7,NULL
974127,0,10,5.(a),5.1,5,5.(a),NULL,5.1,NULL
974127,0,11,5.(c),5.3,5,5.(c),NULL,5.3,NULL
974127,0,12,3.(b),NULL,3,3.(b),NULL,NULL,NULL
974127,1,1,2.(b),2.2,2,2.(b),NULL,2.2,NULL
974127,0,2,1.(d),1.3,1,1.(d),NULL,1.3,NULL
974127,0,3,1.(e),NULL,1,1.(e),NULL,NULL,NULL
974127,0,4,2.(a),2.1,2,2.(a),NULL,2.1,NULL
974127,0,5,2.(c).(i),2.3.(a),2,2.(c),2.(c).(i),2.3,2.3.(a)
974127,0,6,2.(c).(iii),2.3.(c),2,2.(c),2.(c).(iii),2.3,2.3.(c)
977567,1,1,2.(b),2.2,2,2.(b),NULL,2.2,NULL
977567,0,2,1.(d),1.3,1,1.(d),NULL,1.3,NULL
977567,0,9,9.(c),6.7,9,9.(c),NULL,6.7,NULL
977567,0,10,5.(a),5.1,5,5.(a),NULL,5.1,NULL
977567,0,11,5.(c),5.3,5,5.(c),NULL,5.3,NULL
977567,0,12,3.(b),NULL,3,3.(b),NULL,NULL,NULL
977567,0,13,1.(c),1.1,1,1.(c),NULL,1.1,NULL
977567,0,3,1.(e),NULL,1,1.(e),NULL,NULL,NULL
977567,0,4,2.(a),2.1,2,2.(a),NULL,2.1,NULL
977567,0,5,2.(c).(i),2.3.(a),2,2.(c),2.(c).(i),2.3,2.3.(a)
977567,0,6,2.(c).(iii),2.3.(c),2,2.(c),2.(c).(iii),2.3,2.3.(c)
977567,0,7,2.(f),2.6,2,2.(f),NULL,2.6,NULL
977567,0,8,3.(c).(iii),3.1,3,3.(c),3.(c).(iii),3.1,3.1
