FacilityReportID,WasteTransferID,FacilityID,WasteTypeCode,WasteTreatmentCode,MethodCode,MethodDesignation,MethodTypeCode,Quantity,UnitCode,WHPName,WHPAddress,WHPCity,WHPPostalCode,WHPCountryCode,WHPSiteAddress,WHPSiteCity,WHPSitePostalCode,WHPSiteCountryCode,ConfidentialIndicator,ConfidentialCode,LOV_WasteTypeID,LOV_WasteTreatmentID,LOV_MethodBasisID,LOV_ConfidentialityID
689570,1130369,7019,HWIC,R,M,CRM(bilici stradali),OTH,14900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
689570,1130370,7019,HWIC,D,M,CRM(bilici stradali),OTH,725.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
689570,1130371,7019,NON-HW,R,M,CRM(bilici stradali),OTH,46800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
689570,1130372,7019,NON-HW,D,M,CRM(bilici stradali),OTH,1800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
692253,1135769,7019,HWIC,R,M,CRM (bilici stradali),OTH,12100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
692253,1135770,7019,HWIC,D,M,CRM (bilici stradali),OTH,1030.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
692253,1135771,7019,HWOC,R,M,CRM (bilici stradali),OTH,1310.0,TNE,Industrial Quality Recycling AB,Stallbackavagen 26,Trollhattan,46138,SE,Stallbackavagen 26,Trollhattan,46138,SE,0,NULL,4,1,1,NULL
692253,1135772,7019,NON-HW,D,M,CRM (bilici stradali),OTH,1480.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
692253,1135773,7019,NON-HW,R,M,CRM (bilici stradali),OTH,103000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
695021,1141186,7019,HWIC,R,M,PESO,WEIGH,9840.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
695021,1141187,7019,HWIC,D,M,PESO,WEIGH,2680.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
695021,1141188,7019,NON-HW,R,M,PESO,WEIGH,26600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
695021,1141189,7019,NON-HW,D,M,PESO,WEIGH,8430.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
697900,1147036,7019,HWIC,D,M,PESO,WEIGH,2680.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
697900,1147037,7019,NON-HW,R,M,PESO,WEIGH,94600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
697900,1147035,7019,HWIC,R,M,PESO,WEIGH,10800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
697900,1147038,7019,NON-HW,D,M,PESO,WEIGH,10100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
700877,1153158,7019,HWIC,D,M,PESO,WEIGH,9630.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
700877,1153159,7019,NON-HW,R,M,PESO,WEIGH,32900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
700877,1153157,7019,HWIC,R,M,PESO,WEIGH,5230.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
700877,1153160,7019,NON-HW,D,M,PESO,WEIGH,10000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
811535,1343838,7019,HWIC,R,M,CRM(bilici stradali),OTH,14900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
811535,1343839,7019,HWIC,D,M,CRM(bilici stradali),OTH,725.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
811535,1343840,7019,NON-HW,R,M,CRM(bilici stradali),OTH,46800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
811535,1343841,7019,NON-HW,D,M,CRM(bilici stradali),OTH,1800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
814218,1349238,7019,HWIC,R,M,CRM (bilici stradali),OTH,12100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
814218,1349239,7019,HWIC,D,M,CRM (bilici stradali),OTH,1030.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
814218,1349240,7019,HWOC,R,M,CRM (bilici stradali),OTH,1310.0,TNE,Industrial Quality Recycling AB,Stallbackavagen 26,Trollhattan,46138,SE,Stallbackavagen 26,Trollhattan,46138,SE,0,NULL,4,1,1,NULL
814218,1349241,7019,NON-HW,D,M,CRM (bilici stradali),OTH,1480.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
814218,1349242,7019,NON-HW,R,M,CRM (bilici stradali),OTH,103000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
816986,1354655,7019,HWIC,R,M,PESO,WEIGH,9840.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
816986,1354656,7019,HWIC,D,M,PESO,WEIGH,2680.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
816986,1354657,7019,NON-HW,R,M,PESO,WEIGH,26600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
816986,1354658,7019,NON-HW,D,M,PESO,WEIGH,8430.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
819865,1360505,7019,HWIC,D,M,PESO,WEIGH,2680.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
819865,1360506,7019,NON-HW,R,M,PESO,WEIGH,94600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
819865,1360504,7019,HWIC,R,M,PESO,WEIGH,10800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
819865,1360507,7019,NON-HW,D,M,PESO,WEIGH,10100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
822842,1366627,7019,HWIC,D,M,PESO,WEIGH,9630.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
822842,1366628,7019,NON-HW,R,M,PESO,WEIGH,32900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
822842,1366626,7019,HWIC,R,M,PESO,WEIGH,5230.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
822842,1366629,7019,NON-HW,D,M,PESO,WEIGH,10000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
959784,1614953,7019,HWIC,R,M,CRM(bilici stradali),OTH,14900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
959784,1614954,7019,HWIC,D,M,CRM(bilici stradali),OTH,725.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
959784,1614955,7019,NON-HW,R,M,CRM(bilici stradali),OTH,46800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
959784,1614956,7019,NON-HW,D,M,CRM(bilici stradali),OTH,1800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
962460,1620429,7019,HWIC,D,M,OTH (*),OTH,1030.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
962460,1620430,7019,HWOC,R,M,OTH (*),OTH,1310.0,TNE,SQR SOLUTION,STALLBACKAVAGEN SNC,Stallbackavagen,ND,SE,STALLBACKAVAGEN SNC,Stallbackavagen,-,SE,0,NULL,4,1,1,NULL
962460,1620431,7019,HWIC,R,M,OTH (*),OTH,12100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
962460,1620432,7019,NON-HW,R,M,OTH (*),OTH,103000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
962460,1620423,7019,NON-HW,D,M,OTH (*),OTH,1480.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
962460,1620424,7019,HWIC,R,M,CRM (bilici stradali),OTH,12100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
962460,1620425,7019,HWIC,D,M,CRM (bilici stradali),OTH,1030.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
962460,1620426,7019,HWOC,R,M,CRM (bilici stradali),OTH,1310.0,TNE,Industrial Quality Recycling AB,Stallbackavagen 26,Trollhattan,46138,SE,Stallbackavagen 26,Trollhattan,46138,SE,0,NULL,4,1,1,NULL
962460,1620427,7019,NON-HW,D,M,CRM (bilici stradali),OTH,1480.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
962460,1620428,7019,NON-HW,R,M,CRM (bilici stradali),OTH,103000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
965225,1625898,7019,HWIC,R,M,PESO,WEIGH,9840.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
965225,1625899,7019,HWIC,D,M,PESO,WEIGH,2680.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
965225,1625900,7019,NON-HW,R,M,PESO,WEIGH,26600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
965225,1625901,7019,NON-HW,D,M,PESO,WEIGH,8430.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
968109,1631764,7019,HWIC,D,M,PESO,WEIGH,2680.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
968109,1631765,7019,NON-HW,R,M,PESO,WEIGH,94600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
968109,1631763,7019,HWIC,R,M,PESO,WEIGH,10800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
968109,1631766,7019,NON-HW,D,M,PESO,WEIGH,10100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
971094,1637943,7019,HWIC,D,M,PESO,WEIGH,9630.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
971094,1637944,7019,NON-HW,R,M,PESO,WEIGH,32900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
971094,1637942,7019,HWIC,R,M,PESO,WEIGH,5230.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
971094,1637945,7019,NON-HW,D,M,PESO,WEIGH,10000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
974127,1644174,7019,HWIC,R,M,PESO,WEIGH,5210.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
974127,1644177,7019,NON-HW,D,M,PESO,WEIGH,16600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
974127,1644175,7019,HWIC,D,M,PESO,WEIGH,20000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
974127,1644176,7019,NON-HW,R,M,PESO,WEIGH,45000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
977567,1651097,7019,NON-HW,R,M,PESO,WEIGH,52600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
977567,1651095,7019,HWIC,R,M,PESO,WEIGH,447.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
977567,1651094,7019,NON-HW,D,M,PESO,WEIGH,149000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
977567,1651096,7019,HWIC,D,M,PESO,WEIGH,16000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
38135,25437,7019,HWIC,R,M,NULL,OTH,14900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
38135,25438,7019,HWIC,D,M,NULL,OTH,725.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
38135,25439,7019,NON-HW,R,M,NULL,OTH,46800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
38135,25440,7019,NON-HW,D,M,NULL,OTH,1800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
113400,155026,7019,HWIC,R,M,NULL,OTH,14900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
113400,154569,7019,HWIC,D,M,NULL,OTH,725.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
113400,151917,7019,NON-HW,R,M,NULL,OTH,46800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
113400,151923,7019,NON-HW,D,M,NULL,OTH,1800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
214104,307455,7019,HWIC,R,M,CRM(bilici stradali),WEIGH,14900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
214104,307456,7019,HWIC,D,M,CRM(bilici stradali),WEIGH,725.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
214104,307457,7019,NON-HW,R,M,CRM(bilici stradali),WEIGH,46800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
214104,307458,7019,NON-HW,D,M,CRM(bilici stradali),WEIGH,1800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
216586,312438,7019,HWIC,R,M,CRM (bilici stradali),WEIGH,12100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
216586,312439,7019,HWIC,D,M,CRM (bilici stradali),WEIGH,1030.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
216586,312440,7019,HWOC,R,M,CRM (bilici stradali),WEIGH,1310.0,TNE,Industrial Quality Recycling AB,Stallbackavagen 26,Trollhattan,46138,SE,Stallbackavagen 26,Trollhattan,46138,SE,0,NULL,4,1,1,NULL
216586,312441,7019,NON-HW,D,M,CRM (bilici stradali),WEIGH,1480.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
216586,312442,7019,NON-HW,R,M,CRM (bilici stradali),WEIGH,103000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
219189,317575,7019,HWIC,R,M,PESO,WEIGH,9840.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
219189,317576,7019,HWIC,D,M,PESO,WEIGH,2680.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
219189,317577,7019,NON-HW,R,M,PESO,WEIGH,26600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
219189,317578,7019,NON-HW,D,M,PESO,WEIGH,8430.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
372908,568670,7019,HWIC,D,M,PESO,WEIGH,2680.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
372908,568671,7019,NON-HW,R,M,PESO,WEIGH,94600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
372908,568669,7019,HWIC,R,M,PESO,WEIGH,10800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
372908,568672,7019,NON-HW,D,M,PESO,WEIGH,10100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
396074,608580,7019,HWIC,D,M,PESO,WEIGH,2680.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
396074,608581,7019,NON-HW,R,M,PESO,WEIGH,94600.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
396074,608579,7019,HWIC,R,M,PESO,WEIGH,10800.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
396074,608582,7019,NON-HW,D,M,PESO,WEIGH,10100.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
557136,886296,7019,HWIC,R,M,PESO,WEIGH,5230.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,1,1,NULL
557136,886299,7019,NON-HW,D,M,PESO,WEIGH,10000.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,2,1,NULL
557136,886297,7019,HWIC,D,M,PESO,WEIGH,9630.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,2,1,NULL
557136,886298,7019,NON-HW,R,M,PESO,WEIGH,32900.0,TNE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,1,NULL
